FMID	PDID	PDDT	MJPRCLID	WJXBFS1	WJXBFS2
201712	20171221	12/21/2017	X32	398.25	77.25
201712	20171212	12/12/2017	X31	1889	61
201712	20171214	12/14/2017	X31	3954	328.98
201712	20171212	12/12/2017	072	299	104.65
201712	20171212	12/12/2017	X34	3167	1153.24
201712	20171213	12/13/2017	X34	0	-0.01
201712	20171211	12/11/2017	X34	7451	2261.54
201712	20171213	12/13/2017	X31	0	0
201712	20171221	12/21/2017	X22	46348.2	9713.65
201712	20171215	12/15/2017	X34	0	0.01
201712	20171218	12/18/2017	072	6848.99	1849.22
201712	20171208	12/8/2017	X31	2079	271.47
201712	20171207	12/7/2017	X31	2095	291.15
201712	20171208	12/8/2017	X34	7604	2200.9
201712	20171215	12/15/2017	X31	2095	309.19
