PMID	PMCD	PMDE0	MKTPGIN	PMSTPDID	PMSTDT	PMENPDID	PMENDT	SDCD0	PMSTCD	PMTYID	PMTYDE
277	IC 	DENTURIST INFECTION CONTROL	N	20120613	6/13/2012	20120630	6/30/2012	AAL	C	10	Other
2	EZ 	ARUBA DEFAULT PROMO - DENTAL	N	20070327	3/27/2007	20401231	12/31/2040	AAD	A	1	Aruba Promo
3	LL 	ARUBA DEFAULT PROMO - LAB	N	20070327	3/27/2007	20401231	12/31/2040	AAL	A	1	Aruba Promo
4	OK 	ARUBA DEFAULT PROMO - MEDICAL	N	20070327	3/27/2007	20401231	12/31/2040	AAM	A	1	Aruba Promo
5	TV 	ARUBA DEFAULT PROMO - VET	N	20070327	3/27/2007	20401231	12/31/2040	AAV	A	1	Aruba Promo
278	DG 	JULY 2012 DENTAL FLYER	N	20120701	7/1/2012	20120731	7/31/2012	AAD	C	8	Monthly Sales Flyer
266	DE 	MAY 2012 DENTAL FLYER	N	20120501	5/1/2012	20120531	5/31/2012	AAD	C	16	Web Promo
50	V1 	MVP - DISPOSABLES	N	20080318	3/18/2008	20401231	12/31/2040	AAD	A	15	Target Mailings
279	GF 	JULY 2012 CUSTOMER REQUEST	N	20120701	7/1/2012	20120731	7/31/2012	AAD	C	8	Monthly Sales Flyer
268	ME 	MAY/JUNE 2012 MEDICAL FLYER	N	20120501	5/1/2012	20120630	6/30/2012	AAM	C	8	Monthly Sales Flyer
94	P1 	PRIVILEGES PRICING	Y	20081210	12/10/2008	20401230	12/30/2040	AAD	A	10	Other
280	MG 	JULY/AUGUST 2012 MEDICAL FLYER	N	20120701	7/1/2012	20120831	8/31/2012	AAM	C	8	Monthly Sales Flyer
270	ZE 	MAY/JUNE ZAHN FLYER	N	20120501	5/1/2012	20120630	6/30/2012	AAL	C	8	Monthly Sales Flyer
281	ZG 	JULY/AUGUST 2012 ZAHN FLYER	N	20120701	7/1/2012	20120831	8/31/2012	AAL	C	8	Monthly Sales Flyer
272	JD 	JDQ 2012	N	20120515	5/15/2012	20120611	6/11/2012	AAD	C	6	Show Special
152	TW 	TWITTER PROMOTIONS	N	20110218	2/18/2011	20401230	12/30/2040	AAD	A	10	Other
282	AD 	ALBERTA DENTURIST SUPER SAVER	N	20120705	7/5/2012	20120713	7/13/2012	AAL	C	10	Other
283	C0 	$800  CINEPLEX BUYING LEVEL	N	20120726	7/26/2012	20120928	9/28/2012	AAD	C	15	Target Mailings
284	C1 	$1000 CINEPLEX BUYING LEVEL	N	20120726	7/26/2012	20120928	9/28/2012	AAD	C	15	Target Mailings
103	VA 	VIP ACCESS DENTAL	N	20090228	2/28/2009	20401231	12/31/2040	AAD	A	15	Target Mailings
285	C2 	$1200 CINEPLEX BUYING LEVEL	N	20120726	7/26/2012	20120928	9/28/2012	AAD	C	15	Target Mailings
251	AS 	ACE PRODUCT LISTING @10% DISC	N	20120413	4/13/2012	20120630	6/30/2012	AAD	C	10	Other
65	V3 	MVP ANAESTHETIC	N	20080627	6/27/2008	20401231	12/31/2040	AAD	A	15	Target Mailings
286	C3 	$1500 CINEPLEX BUYING LEVEL	N	20120726	7/26/2012	20120928	9/28/2012	AAD	C	15	Target Mailings
67	RD 	RIDEAU FREE GOODS PROGRAM	Y	20080627	6/27/2008	20401231	12/31/2040	AAD	A	10	Other
287	C4 	$2000 CINEPLEX BUYING LEVEL	N	20120726	7/26/2012	20120928	9/28/2012	AAD	C	15	Target Mailings
288	C5 	$2500 CINEPLEX BUYING LEVEL	N	20120726	7/26/2012	20120928	9/28/2012	AAD	C	15	Target Mailings
289	C6 	$3000 CINEPLEX BUYING LEVEL	N	20120726	7/26/2012	20120928	9/28/2012	AAD	C	15	Target Mailings
290	C7 	$3500 CINEPLEX BUYING LEVEL	N	20120726	7/26/2012	20120928	9/28/2012	AAD	C	15	Target Mailings
72	V4 	MVP GYPSUM	N	20080718	7/18/2008	20401231	12/31/2040	AAL	A	15	Target Mailings
73	V5 	MVP ROTARY	N	20080718	7/18/2008	20401230	12/30/2040	AAD	A	15	Target Mailings
110	E2 	DENTSPLY ENDO SAVINGS PLAN	Y	20090506	5/6/2009	20401231	12/31/2040	AAD	A	10	Other
33	NO 	NEW OFFICE OPENING 10%	N	20071122	11/22/2007	20401231	12/31/2040	AAD	A	9	New Account Discount
74	V6 	MVP GLOVES	N	20080718	7/18/2008	20401230	12/30/2040	AAD	A	15	Target Mailings
75	V7 	MVP XRAY	N	20080723	7/23/2008	20401230	12/30/2040	AAD	A	15	Target Mailings
76	V8 	MVP IMPRESSION MATERIAL	N	20080723	7/23/2008	20401230	12/30/2040	AAD	A	15	Target Mailings
81	E1 	SYBRON ENDO SAVINGS	Y	20080819	8/19/2008	20401231	12/31/2040	AAD	A	15	Target Mailings
273	DU 	DALHOUISE UNIVERSITY '12 OFFER	N	20120521	5/21/2012	20120608	6/8/2012	AAD	C	10	Other
